parameter,value,unit,kind,source_id,locator,applicability
CF_AGB,0.47,т C/т сухого вещества,опубликованное значение по умолчанию,IPCC_FOREST_2006,"Таблица 4.3, с. 4.48, общее значение All",Общее значение для лесной биомассы; расчёт ограничен надземной древесной биомассой
CO2_per_C,44/12,т CO₂/т C,отношение молярных масс,IPCC_GENERIC_2006,Отношение молярных масс CO₂ и C,Изменение запаса в CO₂-эквиваленте; время поступления углерода в атмосферу не определено
UNC_allowance,0.10,доля,сценарные правила кейса,CASE_RULES_V1,Вычет за неопределённость,Сценарный расчёт в рамках кейса
UNC_stop_ratio,1.0,H/R,сценарные правила кейса,CASE_RULES_V1,При H/R ≥ 1 число единиц равно нулю,Применяется при R > 0
BUF,0.15,доля,сценарные правила кейса,CASE_RULES_V1,Резерв на случай потери накопленного углерода,Фиксированный параметр сценария; индивидуальный риск проекта не оценён
LK,0,т CO₂-экв. за период,сценарные правила кейса,CASE_RULES_V1,Сценарий без переноса деятельности за пределы участка,Допущение сценарного расчёта; фактическая утечка не измерена
price_low,500,руб./потенциальная единица,сценарные правила кейса,CASE_RULES_V1,Ценовой сценарий,Заданная цена сценария
price_base,1500,руб./потенциальная единица,сценарные правила кейса,CASE_RULES_V1,Ценовой сценарий,Заданная цена сценария
price_high,4000,руб./потенциальная единица,сценарные правила кейса,CASE_RULES_V1,Ценовой сценарий,Заданная цена сценария
history_start_year,2015,год,сценарные правила кейса,CCI_V7,Начало исторического периода,"Та же версия данных и территория, что для 2019 года"
history_end_year,2019,год,сценарные правила кейса,CCI_V7,Конец исторического периода,Четырёхлетнее изменение для продолжения исторической динамики
scenario_end_year,2029,год,сценарные правила кейса,CASE_RULES_V1,Расчётный горизонт 2019–2029,Ретроспектива 2019–2024; прогноз 2024–2029
